values,
2224.701242,983
2303.039324,984
2373.769319,985
2431.804664,986
2473.688567,987
2501.923837,988
2521.073602,989
2539.69665,990
2564.702191,991
2603.229094,992
2658.147893,993
2728.024718,994
2808.754006,995
2892.558867,996
2970.549608,997
3034.427485,998
3053.089763,999
3074.540521,1000
3075.706282,1001
3062.651222,1002
3043.262995,1003
3027.304401,1004
3017.625139,1005
3019.871513,1006
3029.179717,1007
3040.106267,1008
3044.072632,1009
3033.096551,1010
3000.96035,1011
2945.598904,1012
2871.338477,1013
2785.009011,1014
2697.824941,1015
2620.142869,1016
2560.768288,1017
2524.431087,1018
2510.931189,1019
2515.599103,1020
2530.317844,1021
2545.508011,1022
2553.050762,1023
2547.37475,1024
2527.132064,1025
2495.067502,1026
2456.704898,1027
2417.690933,1028
2383.161977,1029
2356.900702,1030
2337.802708,1031
2324.651471,1032
2313.624067,1033
2300.628056,1034
2282.840974,1035
2258.639887,1036
2228.74284,1037
2195.347954,1038
2160.594268,1039
2126.882251,1040
2095.75017,1041
2066.296135,1042
2037.472629,1043
2007.318617,1044
1972.646814,1045
1932.743738,1046
1888.153299,1047
1841.776712,1048
1798.766339,1049
1764.832762,1050
1741.103757,1051
1732.803866,1052
1737.196047,1053
1751.905776,1054
1773.489881,1055
1797.337827,1056
1819.619504,1057
1836.384391,1058
1847.164494,1059
1853.246912,1060
1856.490774,1061
1860.56295,1062
1868.14648,1063
1913.945004,1064
1930.301211,1065
1948.156214,1066
1963.415634,1067
1972.659877,1068
1973.554382,1069
1965.8054,1070
1951.34676,1071
1934.98051,1072
1921.949845,1073
1917.758961,1074
1926.713242,1075
1951.074697,1076
1989.469307,1077
2038.220171,1078
2091.186489,1079
2140.898315,1080
2179.448483,1081
2200.427258,1082
2199.804983,1083
2174.930619,1084
2126.578607,1085
2057.811029,1086
1972.880729,1087
1877.250883,1088
1776.833845,1089
1677.202627,1090
1582.93927,1091
1520.966048,1092
1483.080467,1093
1487.904089,1094
1554.76003,1095
1676.404661,1096
1848.702111,1097
2059.974686,1098
2291.975376,1099
2520.933053,1100
2722.442309,1101
2874.396805,1102
2961.465457,1103
2979.028401,1104
2931.486772,1105
2834.083361,1106
2707.844505,1107
2576.688814,1108
2461.662275,1109
2379.745908,1110
2338.57748,1111
2338.787355,1112
2373.718258,1113
2433.707441,1114
2505.612561,1115
2579.681039,1116
